Id,Tên trường,Loại hình cơ sở đào tạo,Loại trường,Cơ quan quản lý trực tiếp,Ký hiệu,Tên tiếng Anh,Website,"Tỉnh, thành phố",Được kiểm định bởi tổ chức kiểm định chất lượng giáo dục,Ngày cấp giấy chứng nhận kiểm định chất lượng,Ngày hết hạn giá trị của giấy chứng nhận kiểm định chất lượng
825,TRƯỜNG ĐẠI HỌC THƯƠNG MẠI,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,TMA,Thuongmai University,https://tmu.edu.vn/,Hà Nội,VNU-CEA,30/03/2018,30/03/2023
848,TRƯỜNG ĐẠI HỌC TRÀ VINH,Trường đại học,Công lập,UBND tỉnh Trà Vinh,DVT,Tra Vinh University,https://www.tvu.edu.vn/,Trà Vinh,VNU-HCM CEA,20/11/2019,20/11/2024
826,TRƯỜNG ĐẠI HỌC TRƯNG VƯƠNG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DVP,Trung Vuong University,http://tv-uni.edu.vn,Vĩnh Phúc,Trung tâm kiểm định chất lượng Trường Đại học Vinh,27/02/2023,27/02/2028
761,TRƯỜNG ĐẠI HỌC VĂN HIẾN,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DVH,Van Hien University,https://vhu.edu.vn/,TP. Hồ Chí Minh,CEA-UD,03/12/2020,03/12/2025
763,TRƯỜNG ĐẠI HỌC VĂN HOÁ HÀ NỘI,Trường đại học,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",VHH,Hanoi University of Culture,https://huc.edu.vn/,Hà Nội,,,
764,TRƯỜNG ĐẠI HỌC VĂN HOÁ TP. HỒ CHÍ MINH,Trường đại học,Công lập,"Bộ Văn hóa, Thể thao và Du lịch",VHS,Ho Chi Minh City University of Culture,https://www.hcmuc.edu.vn/,TP. Hồ Chí Minh,VNU-HCM CEA,04/08/2020,04/08/2025
697,"TRƯỜNG ĐẠI HỌC VĂN HOÁ, THỂ THAO VÀ DU LỊCH THANH HOÁ",Trường đại học,Công lập,UBND tỉnh Thanh Hoá,DVD,"Thanh Hoa University of Culture, Sports and Tourism",http://www.dvtdt.edu.vn/,Thanh Hóa,VU-CEA,15/04/2022,15/04/2027
765,TRƯỜNG ĐẠI HỌC VĂN LANG,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,DVL,Van Lang University,https://www.vanlanguni.edu.vn/,TP. Hồ Chí Minh,,,
984,TRƯỜNG ĐẠI HỌC VIỆT ĐỨC,Trường đại học,Công lập,Bộ Giáo dục và Đào tạo,VGU,Vietnamese - German University,https://vgu.edu.vn/vi/home,Bình Dương,,,
730,TRƯỜNG ĐẠI HỌC VIỆT NHẬT - ĐẠI HỌC QUỐC GIA HÀ NỘI,Trường đại học,Công lập,,VJU,VNU Vietnam - Japan University,http://vju.ac.vn/,Hà Nội,,,
750,TRƯỜNG ĐẠI HỌC VINUNI,Trường đại học,Tư thục,Bộ Giáo dục và Đào tạo,VIN,VinUniversity,https://vinuni.edu.vn/,Hà Nội,,,
